,brand,model,registration_year,fuel_type,seats,rto_state,transmission_type,ownership,engine(cc),kms_driven,engine_power(bhp),mileage(kmpl),has_parking_sensors,has_automatic_climate_control,has_rear_ac_vents,has_central_locking,has_air_purifier,vehicle_price(lakhs),new_vehicle_price(lakhs)
2121,Hyundai,Xcent,2018,Petrol,5 Seats,Maharashtra,Manual,Second Owner,1197,75000,81.86,20.14,1,0,1,0,0,4.25,8.25
2122,Hyundai,i20,2014,Diesel,5 Seats,Maharashtra,Manual,Second Owner,1396,76883,88.73,22.54,0,1,1,0,0,4.75,9.74
2123,Hyundai,EON,2013,Petrol,5 Seats,Himachal Pradesh,Manual,Second Owner,814,50000,55.58,21.095,0,0,0,0,0,1.6,4.67
2124,Hyundai,Venue,2021,Petrol,5 Seats,Punjab,Manual,First Owner,1197,21000,82.476,18.554,0,0,0,0,0,7.85,10.06
2125,Maruti,Alto,2015,Petrol,5 Seats,Himachal Pradesh,Manual,First Owner,998,79000,67.064,23.366,0,0,0,0,0,2.75,4.5
2126,Mahindra,XUV500,2016,Diesel,7 Seats,Punjab,Manual,First Owner,2179,76000,140.4,15.93,0,0,0,0,0,5.75,20.51
2127,Tata,Punch,2022,Petrol,5 Seats,Punjab,Manual,Second Owner,1199,24000,85.613,19.658,0,0,0,0,0,6.4,8.83
2128,Maruti,Celerio,2018,Petrol,5 Seats,Punjab,Manual,First Owner,998,51000,67.826,22.218,0,0,0,0,0,4.35,5.44
2129,Maruti,Vitara,2017,Diesel,5 Seats,Punjab,Manual,First Owner,1248,70000,87.966,24.358,0,0,0,0,0,5.8,9.32
2130,Mahindra,XUV500,2013,Diesel,7 Seats,Punjab,Manual,Second Owner,2179,83000,139.322,15.143,0,0,0,0,0,4.65,16.38
2131,Kia,Seltos,2024,Petrol,5 Seats,Himachal Pradesh,Automatic,First Owner,1497,20000,113.749,17.55,0,0,0,0,0,13.0,19.33
2132,Maruti,Wagon,2013,Petrol,5 Seats,Maharashtra,Manual,First Owner,998,56000,67.04,20.51,0,0,0,1,0,2.9,5.47
2133,Mahindra,Thar,2021,Diesel,4 Seats,Maharashtra,Manual,First Owner,2184,48000,130.0,15.2,0,0,0,0,0,13.9,18.52
2134,Hyundai,Exter,2025,Petrol,5 Seats,Jammu and Kashmir,Manual,First Owner,1197,10000,83.371,18.38,0,0,0,0,0,8.45,9.74
2135,Mahindra,BE,2025,Electric,5 Seats,Jammu and Kashmir,Automatic,First Owner,0,1000,228.0,0.0,1,1,1,0,0,18.0,19.87
2136,Kia,Sonet,2024,Petrol,5 Seats,Jammu and Kashmir,Manual,First Owner,1197,10000,81.8,18.4,1,1,1,0,0,9.2,12.05
2137,Maruti,S-Presso,2020,Petrol,5 Seats,Punjab,Manual,First Owner,998,25000,65.71,21.7,0,0,0,1,0,4.15,5.49
2138,Maruti,Grand,2023,Petrol,5 Seats,Maharashtra,Manual,First Owner,1462,36000,101.64,21.11,1,1,1,0,0,10.6,14.2
2139,Nissan,Magnite,2022,Petrol,5 Seats,Other/Regional Code,Manual,First Owner,999,30000,71.02,18.75,1,1,0,0,0,6.0,8.9
2140,Ford,Endeavour,2021,Diesel,7 Seats,Punjab,Automatic,First Owner,1996,52000,167.62,12.4,0,1,0,0,1,32.0,42.23
2141,Mahindra,XUV,2024,Diesel,5 Seats,Punjab,Manual,First Owner,1498,10000,115.05,17.0,1,0,1,0,0,11.5,13.31
2142,Kia,Seltos,2024,Petrol,5 Seats,Unknown,Manual,First Owner,1497,20000,113.42,17.0,0,1,0,0,1,15.0,17.78
2143,Hyundai,Venue,2024,Petrol,5 Seats,Punjab,Manual,First Owner,1197,20000,82.0,20.36,1,0,0,0,0,6.5,9.19
2144,Mahindra,XUV,2024,Diesel,5 Seats,Haryana,Automatic,First Owner,1498,20000,115.05,20.6,0,1,0,0,0,12.8,14.49
2145,Kia,Sonet,2024,Petrol,5 Seats,Unknown,Manual,First Owner,1197,20000,81.8,18.4,1,1,1,0,0,9.5,11.74
2146,Skoda,Fabia,2011,Diesel,5 Seats,Punjab,Manual,First Owner,1199,160000,75.0,19.5,0,0,1,0,0,1.1,6.88
2147,Audi,A4,2010,Petrol,5 Seats,Delhi,Automatic,Fourth Owner,1781,60000,153.999,14.985,0,0,0,0,0,1.75,30.55
2148,Tata,Zest,2015,Diesel,5 Seats,Himachal Pradesh,Manual,Second Owner,1248,160000,82.671,23.062,0,0,0,0,0,1.77,7.86
2149,Renault,KWID,2019,Petrol,5 Seats,Chandigarh,Manual,First Owner,999,35000,69.136,19.75,0,0,0,0,0,3.75,4.94
